,name,contents
4960,파니,뙤야기
234,파랑호다,파랗다.
4555,파부,교미에 쓰는 수말(把夫)
5171,파소,#NAME?
5266,파수,⇒파소
5170,파쉬,⇒파수
408,파장치다,끝내다.
4923,판-씨름,공개된 씨름
685,판고집다리,"고집-쟁이. 고집장이, 고집퉁이.
"
3805,팔,삼(눈의 삼)
5008,팔-꼬녀,고누 이름
3009,팔각-낭,붓순
1724,팔제,#NAME?
1093,팔통물,"팔통이라는 샘의 근처에서 난다 하여 붙여진 이름
"
1723,팡,댓돌. 드딤돌. 물건을 얹어 놓는 대(臺)
5265,팡,발판. 돋움
3609,팡-돌,⇒엿돌
3008,패,⇒넘피
2524,패,파(派)
2792,패-마농,⇒삥이마농
5697,패리,패랭이
78,팰롱팰롱,펠롱펠롱. 빤짝빤짝.
5169,퍼레-박,파래박. 두레박. 용두레
407,퍼먹다,잔뜩 먹다.
406,퍼붓다,① 비가 쏟아지다. ② 말을 쏟아내다.
405,퍼싸다,똥을 많이 싸다
6358,펀개,#NAME?
1722,펄,⇒짐퍽
3007,펄기,#NAME?
3006,페,⇒넘피
2523,페,⇒①쪽지. ②표(票. 標)
3005,페기,⇒펄기
404,페다," 패다, 때리다."
77,페삭,바삭.
76,페삭페삭,바삭바삭.
403,페우다,펴다.
1721,페적,=표적. ①표목. ②특징. ③옷의 오점(汚點). ④흠. 헌데자리
3804,페적,#NAME?
2522,페지,⇒쪽지
3004,페채기,⇒베채기
1720,펜,편(便. 片)
2520,펜-싸움,편싸움
233,펜고호다,편안하다.
75,펜두룽이," 펜주룽이=펜드렁이<핀두룽이. 시치미 떼고 그대로 있는 꼴, 겁내지 않고 태연한 꼴."
2521,펜론,변론(辯論)
1719,펜리,편리(便利)
3608,펜방,문을 다는 데에 있는 기둥
1718,펜심,편드는 마음
2519,펜지,편지
5264,펜틀,평반(平盤)
1717,펭,평(平. 評)
5168,펭,병(甁)
5263,펭게,탕개
3607,펭고디,서까래 끝에 박는 나무. 평고대
4922,펭기,#NAME?
2518,펭년,평년(平年)
5167,펭상,평상(平床)
5007,펭이,⇒펭기
1716,펭장,평토장(平土葬)
3803,펭창-코,⇒코멜색이
5262,펭풍,⇒벵풍
3606,포,①들보. ②보. ③잇
5166,포,①보(褓). ②잇. ③들보
5696,포,①보. ②잇. ③들보
1715,포-숭년,연거푸 거듭되는 흉년
4398,포갑,전복껍질(鮑甲)
2706,포두,포도
1152,포리물,"푸른 해초가 많이 붙는다 하여 붙여진 이름
"
2517,포솜,#NAME?
2516,포승,#NAME?
5261,포승-줄,#NAME?
1714,포신,#NAME?
2515,포싱,⇒포승
5165,포싱-줄,⇒포승줄
1713,포앙,⇒포신
1106,포젯-동산,"""포제
 를 지내는 제단이 있는 동산""
"
4181,폭,팽나무 열매
2514,폭,셈
3003,폭-낭,팽나무
3802,폭-도둑놈,살쐐기
964,폭낭오름,"큰 팽나무(폭낭)이 있어 유래함
"
3800,폴-뚝,⇒폴다시
3799,폴-목,⇒장목
848,폴두-곱지,"하천변의 도로형태가 팔이 굽은 모양이라 하여 붙여진 이름
"
401,폴이다,팔다.
2513,폿-짐,봇짐. 보퉁이
1266,폿볼레,팥알만금 작은 보리수나무의 열매
3458,표육,⇒보육
3801,표적,⇒페적
1712,표적,⇒페적
3002,푸께,#NAME?
2512,푸께기,①⇒모힌 것. ②거품(geopum). ③텡보
5260,푸는-체,키(箕)
4829,푸다시,푸닥거리
1711,푸답,푸새. 옷에 풀을 먹이는 일
5164,푸데,포대(布袋)
3457,푸레-죽,#NAME?
5695,푸린-물,푸른물감
2846,푸린-콩,청대콩
3001,푸생이,덤불
2511,푸숨,⇒포솜
3000,푸십세,풀(草)
232,푸지다," 푸짐하다, 흡족하다."
1710,푸체,⇒부체
2510,푸체-님,⇒부체님
231,푹시근호다," 포근하다, 뚱뚱하다."
2999,푼철귀,⇒푸께
1709,푼체,⇒부체
5259,푼체,⇒부체
2509,푼체-님,⇒부체님
2998,푼체-순이,부처손(拳栢)
3456,풀-탁,⇒푸레죽
6123,풀돋잇-마,봄철 풀이 돋을 시기에 비가 자주 내리는 날씨
4921,풀색각시-놂,각시놀음
2997,풍-솔,절로 난 잔 솔
2845,풍뎅-이,쭉정이
5258,풍체-작쉬,차양. 작대기
3455,피-창,순대. 남자의 말
1217,피낭,굴거리나무
2508,피막-소리,회피하는 말
2996,피만지,피마자. 아주까리
1707,피상,비상(砒霜)
402,피우다," 풍기다, 불이 나게 하다."
2507,피치-가죽,동물의 표피(表皮)
1706,피탁,핑계
2705,피파,비파
2995,피파-낭,비파나무
2994,피풍-낭,사철나무
2506,필요,(必要). 이유(理由)
